tourney_date,surface,winner_name,loser_name,year
2000-01-03,Hard,Anne Kremer,Cara Black,2000
2000-01-03,Hard,Elena Likhovtseva,Katarina Srebotnik,2000
2000-01-03,Hard,Anne Kremer,Leanne Baker,2000
2000-01-03,Hard,Mariana Diaz Oliva,Pavlina Nola,2000
2000-01-03,Hard,Jill Craybas,Lubomira Bacheva,2000
2000-01-03,Hard,Paola Suarez,Kristina Brandi,2000
2000-01-03,Hard,Vanessa Webb,Barbara Schwartz,2000
2000-01-03,Hard,Meghann Shaughnessy,Florencia Labat,2000
2000-01-03,Hard,Virginia Ruano Pascual,Petra Mandula,2000
2000-01-03,Hard,Anna Smashnova,Meilen Tu,2000
2000-01-03,Hard,Emilie Loit,Maureen Drake,2000
2000-01-03,Hard,Amanda Hopmans,Rewa Harriman,2000
2000-01-03,Hard,Nuria Llagostera Vives,Marlene Weingartner,2000
2000-01-03,Hard,Miroslava Vavrinec,Maria Sanchez Lorenzo,2000
2000-01-03,Hard,Cara Black,Seda Noorlander,2000
2000-01-03,Hard,Jana Nejedly,Patricia Wartusch,2000
2000-01-03,Hard,Katarina Srebotnik,Brie Rippner,2000
2000-01-03,Hard,Patty Schnyder,Tatiana Panova,2000
2000-01-03,Hard,Arantxa Sanchez Vicario,Rita Grande,2000
2000-01-03,Hard,Silvija Talaja,Kveta Peschke,2000
2000-01-03,Hard,Anna Kournikova,Jana Kandarr,2000
2000-01-03,Hard,Nathalie Dechy,Magdalena Maleeva,2000
2000-01-03,Hard,Conchita Martinez,Sabine Appelmans,2000
2000-01-03,Hard,Arantxa Sanchez Vicario,Patty Schnyder,2000
2000-01-03,Hard,Elena Likhovtseva,Maria Vento Kabchi,2000
2000-01-03,Hard,Silvija Talaja,Anna Kournikova,2000
2000-01-03,Hard,Conchita Martinez,Nathalie Dechy,2000
2000-01-03,Hard,Silvija Talaja,Arantxa Sanchez Vicario,2000
2000-01-03,Hard,Cara Black,Jana Nejedly,2000
2000-01-03,Hard,Silvija Talaja,Conchita Martinez,2000
2000-01-03,Hard,Miroslava Vavrinec,Nuria Llagostera Vives,2000
2000-01-03,Hard,Anna Smashnova,Virginia Ruano Pascual,2000
2000-01-03,Hard,Magdalena Maleeva,Alicia Molik,2000
2000-01-03,Hard,Tathiana Garbin,Magdalena Grzybowska,2000
2000-01-03,Hard,Nathalie Dechy,Nicole Pratt,2000
2000-01-03,Hard,Conchita Martinez,Sylvia Plischke,2000
2000-01-03,Hard,Barbara Rittner,Magui Serna,2000
2000-01-03,Hard,Amelie Cocheteux,Alina Jidkova,2000
2000-01-03,Hard,Sabine Appelmans,Erika De Lone,2000
2000-01-03,Hard,Patty Schnyder,Sonya Jeyaseelan,2000
2000-01-03,Hard,Tatiana Panova,Rachel Mcquillan,2000
2000-01-03,Hard,Rita Grande,Annabel Ellwood,2000
2000-01-03,Hard,Arantxa Sanchez Vicario,Angeles Montolio,2000
2000-01-03,Hard,Silvija Talaja,Nicole Arendt,2000
2000-01-03,Hard,Kveta Peschke,Laurence Courtois,2000
2000-01-03,Hard,Jana Kandarr,Tina Pisnik,2000
2000-01-03,Hard,Magdalena Maleeva,Julie Halard Decugis,2000
2000-01-03,Hard,Nathalie Dechy,Tathiana Garbin,2000
2000-01-03,Hard,Conchita Martinez,Barbara Rittner,2000
2000-01-03,Hard,Sabine Appelmans,Amelie Cocheteux,2000
2000-01-03,Hard,Anne Kremer,Meghann Shaughnessy,2000
2000-01-03,Hard,Cara Black,Amanda Hopmans,2000
2000-01-03,Hard,Anne Kremer,Paola Suarez,2000
2000-01-03,Hard,Meghann Shaughnessy,Anna Smashnova,2000
2000-01-03,Hard,Amanda Hopmans,Miroslava Vavrinec,2000
2000-01-03,Hard,Cara Black,Elena Likhovtseva,2000
2000-01-03,Hard,Anne Kremer,Mariana Diaz Oliva,2000
2000-01-03,Hard,Paola Suarez,Jill Craybas,2000
2000-01-03,Hard,Meghann Shaughnessy,Vanessa Webb,2000
2000-01-03,Hard,Amanda Hopmans,Emilie Loit,2000
2000-01-07,Hard,Arantxa Sanchez Vicario,Jelena Dokic,2000
2000-01-07,Hard,Lindsay Davenport,Elena Likhovtseva,2000
2000-01-07,Hard,Alexandra Stevenson,Anne Gaelle Sidot,2000
2000-01-07,Hard,Olga Barabanschikova,Anke Huber,2000
2000-01-07,Hard,Amelie Mauresmo,Lindsay Davenport,2000
2000-01-07,Hard,Lindsay Davenport,Anna Kournikova,2000
2000-01-07,Hard,Amelie Mauresmo,Martina Hingis,2000
2000-01-07,Hard,Lindsay Davenport,Arantxa Sanchez Vicario,2000
2000-01-07,Hard,Alexandra Stevenson,Barbara Schett,2000
2000-01-07,Hard,Anna Kournikova,Jennifer Capriati,2000
2000-01-07,Hard,Amelie Mauresmo,Silvija Talaja,2000
2000-01-07,Hard,Mary Pierce,Conchita Martinez,2000
2000-01-07,Hard,Dominique Monami,Paola Suarez,2000
2000-01-07,Hard,Dominique Monami,Amanda Coetzer,2000
2000-01-07,Hard,Elena Likhovtseva,Sandra Nacuk,2000
2000-01-07,Hard,Jelena Dokic,Evie Dominikovic,2000
2000-01-07,Hard,Arantxa Sanchez Vicario,Julie Halard Decugis,2000
2000-01-07,Hard,Anna Kournikova,Alexandra Stevenson,2000
2000-01-07,Hard,Jennifer Capriati,Sandrine Testud,2000
2000-01-07,Hard,Anna Kournikova,Sabine Appelmans,2000
2000-01-07,Hard,Amelie Mauresmo,Ai Sugiyama,2000
2000-01-07,Hard,Silvija Talaja,Nadia Petrova,2000
2000-01-07,Hard,Conchita Martinez,Anne Kremer,2000
2000-01-07,Hard,Martina Hingis,Olga Barabanschikova,2000
2000-01-07,Hard,Martina Hingis,Dominique Monami,2000
2000-01-07,Hard,Amelie Mauresmo,Mary Pierce,2000
2000-01-07,Hard,Amanda Coetzer,Lisa Raymond,2000
2000-01-09,Hard,Cara Black,Maria Sanchez Lorenzo,2000
2000-01-09,Hard,Chanda Rubin,Amy Frazier,2000
2000-01-09,Hard,Kim Clijsters,Sarah Pitkowski Malcor,2000
2000-01-09,Hard,Maria Vento Kabchi,Maureen Drake,2000
2000-01-09,Hard,Chanda Rubin,Justine Henin,2000
2000-01-09,Hard,Amy Frazier,Catalina Cristea,2000
2000-01-09,Hard,Kim Clijsters,Miriam Oremans,2000
2000-01-09,Hard,Sarah Pitkowski Malcor,Anna Smashnova,2000
2000-01-09,Hard,Maria Vento Kabchi,Patty Schnyder,2000
2000-01-09,Hard,Maureen Drake,Kristina Brandi,2000
2000-01-09,Hard,Justine Henin,Sylvia Plischke,2000
2000-01-09,Hard,Chanda Rubin,Cara Black,2000
2000-01-09,Hard,Catalina Cristea,Gala Leon Garcia,2000
2000-01-09,Hard,Amy Frazier,Holly Parkinson,2000
2000-01-09,Hard,Kim Clijsters,Ruxandra Dragomir Ilie,2000
2000-01-09,Hard,Miriam Oremans,Annabel Ellwood,2000
2000-01-09,Hard,Anna Smashnova,Amelie Cocheteux,2000
2000-01-09,Hard,Sarah Pitkowski Malcor,Barbara Schwartz,2000
2000-01-09,Hard,Maria Vento Kabchi,Rita Grande,2000
2000-01-09,Hard,Maureen Drake,Magdalena Maleeva,2000
2000-01-09,Hard,Kristina Brandi,Henrieta Nagyova,2000
2000-01-09,Hard,Amy Frazier,Tatiana Panova,2000
2000-01-09,Hard,Holly Parkinson,Cristina Torrens Valero,2000
2000-01-09,Hard,Gala Leon Garcia,Alicia Molik,2000
2000-01-09,Hard,Sylvia Plischke,Kveta Peschke,2000
